Topic,Setting,Character1,Character2,Personality1,Personality2
Implementing a New Digital Payment System,Professional,Steve Jobs,Jack Dorsey,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 3 }"
Organizing a Global Conference on Future Technology,Professional,Steve Jobs,Demis Hassabis,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Organizing a Charity Fundraiser,Professional,Steve Jobs,Bill Gates,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Planning a Space Exploration Mission,Sport,Steve Jobs,Neil deGrasse Tyson,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Creating a Mindfulness Retreat for CEOs,Ethical Dilemmas,Steve Jobs,Dalai Lama,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 1 }"
Training for an Extreme Endurance Challenge,Sport,Steve Jobs,David Goggins,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 2, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Co-Writing a Sci-Fi Movie Script,Military & Securitye,Steve Jobs,Christopher Nolan,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Hosting a Late-Night Talk Show Together,Survival & Crisis Management,Steve Jobs,Stephen Colbert,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }"
Coaching a Youth Leadership Camp,Politics & Governance,Steve Jobs,Michelle Obama,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Surviving on a Deserted Island Together,Technology & Innovatione,Steve Jobs,Bear Grylls,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Negotiating a High-Stakes Business Deal,Professional/Business,Donald Trump,Warren Buffett,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 1 }"
