Topic,Setting,Character1,Character2,Personality1,Personality2
Handling a Star Player’s Poor Attitude,Sport,Steve Jobs,Jack Dorsey,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 3 }"
Fair Play vs. Competitive Edge,Sport,Steve Jobs,Demis Hassabis,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Remote Team Management Challenges,Professional,Steve Jobs,Bill Gates,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Balancing Extracurriculars and Academics,School & Academia,Steve Jobs,Neil deGrasse Tyson,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 5, ""Neuroticism"": 2 }"
AI Replacing Human Jobs,Technology & Innovation,Steve Jobs,Dalai Lama,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 1 }"
Whistleblowing on Corporate Misconduct,Ethical Dilemmas,Steve Jobs,David Goggins,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 2, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Surviving on a Deserted Island Together,Survival & Crisis Management,Steve Jobs,Christopher Nolan,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
AI Replacing Human Jobs,Technology & Innovation,Steve Jobs,Stephen Colbert,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }"
Lying to Protect a Friend,Ethical Dilemmas,Steve Jobs,Michelle Obama,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Doctor-Patient Confidentiality vs. Public Safety,Healthcare & Medical Ethics,Steve Jobs,Bear Grylls,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 5, ""Neuroticism"": 2 }"
