base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Educational degree', 'Full label': '""Obtaining an advanced educational degree""'}",Cooperation,"We selected 'Cooperation' as the social goal category because obtaining an advanced educational degree often requires collaborative efforts, mutual support, and shared resources. The agents' personal goals and roles should reflect how they contribute to and benefit from this cooperative dynamic while maintaining their individual motivations.",To leverage peer expertise to improve their own research methodology and academic writing skills.,To gain recognition as a supportive collaborator while advancing their own thesis work through shared insights.,"""Obtaining an advanced educational degree""","The Novice Researcher (e.g., a first-year graduate student seeking guidance)","The Mentor-like Peer (e.g., an experienced senior student open to collaboration)"
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Conflict Resolution,We selected 'Conflict Resolution' as the social goal category because it involves navigating interpersonal tensions while striving to uphold ethical standards. This scenario allows us to explore how different personality traits influence approaches to resolving conflicts ethically.,"To advocate for fairness and justice in resolving the conflict, ensuring all parties are treated equitably.","To restore harmony and maintain positive relationships, prioritizing empathy and understanding over strict fairness.","""Being an ethical person""",Ethics Advocate,Mediator
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,We selected 'Relationship Maintenance' as the social goal category because it aligns well with the shared goal of 'Avoiding rejection by others'. Maintaining relationships often involves behaviors aimed at preserving social bonds and avoiding exclusion. The two agents will have complementary personal goals and roles that reflect their unique perspectives while working toward the shared goal.,To appear likable and non-threatening to avoid being excluded from the group.,To demonstrate loyalty and reliability to ensure continued acceptance by others.,"""Avoiding rejection by others""",The Pleaser (focused on social harmony and avoiding conflict),The Dependable (focused on proving their value to the group)
"{'Abbreviation': 'Physical fitness', 'Full label': '""Being in good physical condition , physically fit""'}",Cooperation,"We selected 'Cooperation' as the social goal category because achieving physical fitness often requires collaborative efforts, such as mutual encouragement, shared workouts, or joint participation in fitness activities. This category best aligns with the shared goal of being in good physical condition.",To motivate and support the other agent in maintaining a consistent workout routine by providing encouragement and sharing fitness tips.,"To collaborate with the first agent in creating and sticking to a structured fitness plan, ensuring accountability and mutual progress.","""Being in good physical condition , physically fit""",Motivator/Supporter,Planner/Accountability Partner
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Conflict Resolution,"The chosen social goal category is 'Conflict Resolution' as it aligns well with the shared goal of 'Pursuing my ideals, fighting for things I believe in'. Conflict resolution often involves navigating disagreements while staying true to one's values, making it a fitting context for exploring how personality traits influence behavior.",To advocate for my ideals passionately while remaining open to constructive dialogue to find common ground.,To mediate the conflict by ensuring all voices are heard and guiding the discussion toward a mutually acceptable resolution.,"""Pursuing my ideals , fighting for things I believe in""",Advocate,Mediator
"{'Abbreviation': 'Being free', 'Full label': '""Having freedom (being a free person)""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it allows us to explore how agents with differing perspectives on freedom navigate interpersonal tensions while striving for a shared goal. The agents' personal goals reflect their unique interpretations of freedom, and their social roles shape how they approach conflict.",To assert autonomy by resisting perceived constraints imposed by others.,To negotiate mutual boundaries that preserve individual freedom without causing harm.,"""Having freedom (being a free person)""",Rebel (challenges authority and societal norms to reclaim personal freedom),Mediator (seeks balance between individual liberty and collective harmony)
"{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}",Relationship Building,The chosen social goal category is 'Relationship Building' as it involves interpersonal dynamics where agents can work together towards the shared goal of 'Looking young' while also fostering their relationship. This allows for exploration of how personality traits influence collaborative behavior in a social context.,"To bond with the other agent over shared skincare routines and anti-aging tips, establishing trust and camaraderie.","To impress the other agent with advanced knowledge of youth-preserving techniques, aiming to be seen as an expert and reliable source.","""Looking young""",Enthusiastic Novice (eager to learn and share experiences),Knowledgeable Mentor (confident and willing to guide)
"{'Abbreviation': 'Overcoming failure', 'Full label': '""Overcoming failure , putting myself back on my feet after a failure""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' because overcoming failure often requires emotional support, trust, and collaboration, which are central to building strong relationships. The agents will work together to rebuild their confidence and resilience after a failure, leveraging their interpersonal dynamics.",To seek encouragement and constructive feedback from others to regain self-confidence after a setback.,To provide empathetic support and practical advice to help the other person recover from their failure.,"""Overcoming failure , putting myself back on my feet after a failure""",The Seeker (someone actively looking for support and guidance to overcome their failure),The Supporter (someone offering emotional and practical assistance to help the other person bounce back)
"{'Abbreviation': 'Being logical', 'Full label': '""Being logical , consistent , rational""'}",Conflict Resolution,"The chosen social goal category 'Conflict Resolution' aligns well with the shared goal of 'Being logical, consistent, rational' as it involves resolving disagreements through reasoned discussion. Each agent's personal goal reflects their unique perspective while contributing to the shared goal. The roles of 'Mediator' and 'Advocate' provide complementary approaches to conflict resolution—one focused on neutrality and fairness, the other on representing a specific viewpoint logically.",To facilitate a fair and rational discussion that leads to a mutually acceptable resolution.,To present a logical case for their position while remaining open to reasoned counterarguments.,"""Being logical , consistent , rational""",Mediator,Advocate
"{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent , self-reliant , self-sufficient""'}",Cooperation,"The chosen social goal category is 'Cooperation' because achieving independence and self-reliance often requires collaboration, especially in contexts where individuals must work together to overcome shared challenges while maintaining their autonomy. The agents' personal goals reflect their unique motivations within this framework, and their social roles shape how they interact to achieve both their personal and shared goals.",To develop skills and resources that reduce reliance on others while contributing to a collaborative effort.,To maintain autonomy while leveraging collective strengths to achieve mutual self-sufficiency.,"""Being independent , self-reliant , self-sufficient""",Skill Developer (focuses on acquiring and sharing practical skills to foster independence),Autonomy Advocate (ensures the group's actions align with individual self-reliance goals)
